# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3629.5000 M278 5000 2 1682.5000 c100 c123 271 N c100->c144->c123
4597.5000 M599 5000 2 411.5000 c106 c110 293 N c106->c158->c110
4712.7000 M609 5000 4 454.7000 p35 c104 292 N p35->c167->c144->c155->c104
4941.4000 M51 5000 4 4589.4000 c100 p38 223 N c100->c160->c190->c129->p38
4948.2000 M252 5000 1 3184.2000 p38 c112 246 N p38->c112
5210.6000 M493 5000 2 1781.6000 p88 c110 270 N p88->c192->c110
5228.5000 M412 5000 4 2373.5000 c109 c121 260 N c109->c155->c144->c183->c121
5234.9000 M194 5000 3 3874.9000 c112 p88 235 N c112->c136->p35->p88
5236.2000 M76 5000 1 4711.2000 c121 c104 221 N c121->c104
5240.7000 M634 5000 1 814.7000 c107 c121 286 N c107->c121
5240.8000 M226 5000 1 3645.8000 c107 c106 239 N c107->c106
5240.9000 M135 5000 1 4298.9000 c107 c104 228 N c107->c104
5241.0000 M274 5000 4 3320.0000 c121 c107 244 N c121->c144->c160->c199->c107
5388.1000 M771 5000 1 0.1000 p38 c116 299 N p38->c116
6089.7000 M628 5000 1 1696.7000 c120 c100 271 N c120->c100
6104.0000 M476 5000 5 2800.0000 p35 p0 253 N p35->c110->c136->c139->c127->p0
6104.1000 M47 5000 6 5781.1000 c107 p0 203 N c107->c167->c125->c129->c139->c127->p0
6115.2000 M89 5000 1 5497.2000 p0 c104 208 N p0->c104
6901.9000 M277 5000 3 4959.9000 c120 p71 217 N c120->c100->c133->p71
6902.0000 M845 5000 3 977.0000 p38 p71 283 N p38->c129->c133->p71
6902.1000 M121 5000 2 6053.1000 c123 p71 199 N c123->c133->p71
7639.1000 M1087 5000 1 0.1000 p35 p88 299 N p35->p88
7749.5000 M781 5000 5 2286.5000 c106 p92 261 N c106->c144->c136->c164->c183->p92
8163.4000 M1043 5000 1 831.4000 c118 c112 286 N c118->c112
8163.5000 M241 5000 5 6470.5000 p42 c104 192 N p42->b201->b202->b206->c118->c104
8163.6000 M635 5000 5 3732.6000 p21 p0 237 N p21->b201->b202->b206->c118->p0
9399.1000 M1331 5000 1 0.1000 c118 p92 299 N c118->p92
9795.3000 M221 5000 3 8233.3000 c112 c108 162 N c112->c164->c129->c108
9817.0000 M819 5000 1 4088.0000 c108 c120 231 N c108->c120
10023.1000 M1417 5000 1 0.1000 p88 p35 299 N p88->p35
10150.1000 M1435 5000 1 0.1000 p88 p0 299 N p88->p0
10187.1000 M1440 5000 1 0.1000 p35 c104 299 N p35->c104
10315.1000 M1458 5000 1 0.1000 p35 p0 299 N p35->p0
10608.7000 M482 5000 4 7259.7000 c116 c103 179 N c116->c150->c110->c131->c103
10632.8000 M443 5000 1 7551.8000 c103 p88 174 N c103->p88
